brand, product_name, shipping, price, discount, current_price, rating, rating_number
Soundcore,Anker Soundcore Flare 2 Bluetooth Speaker| with IPX7 Waterproof Protection and 360° Sound for Backyard and Beach Party| 20W Wireless Speaker with PartyCast| EQ Adjustment| and 12-Hour Playtime| Black,Free Shipping,0,0,$69.00 –,na,na
na,AsoBeauty Bluetooth Speaker Wireless Game Speaker soundbar USB 3D Stereo Subwoofer AUX FM Home Clock Indoor Bluetooth Sound Bar Computer Loudspeaker 3600mAh (Luxury Black),Free Shipping,0,0,$89.00 (4 Offers)–,na,na
na,Boytone BT-120SL Portable Bluetooth Speaker,Free Shipping,0,0,$9.99 (29 Offers)–,na,na
JBL,JBL Flip 5 Blue Portable Bluetooth Speaker w/Wall Charger,Free Shipping,0,0,$119.99 –,na,na
JBL,JBL Xtreme 2 Waterproof Portable Bluetooth Speaker,Free Shipping,0,0,$249.95 (13 Offers)–,Rating + 3,(2)
na,TREBLAB HD77 Premium Bluetooth Speaker TWS - Loud HD Surround Sound| Wireless Dual Pairing| 25W Powerful Bass| 20H Battery| Best for Outdoor Sports - True Stereo IPX6 Waterproof Cordless,Free Shipping,0,0,$79.97 –,Rating + 4,(4)
na,Bluetooth Shower Speaker - Certified Waterproof - Wireless It Pairs Portable Speaker Easily to All Your Bluetooth Devices with FM Radio & Suction Cup - Phones| Tablets| Computer| Radio,Free Shipping,0,0,$21.99 –,na,na
LEPA,LEPA BTS02-BL 2.0 Speaker System - 8 W RMS - Wireless Speaker(s) - Portable - Battery Rechargeable - Blue,Free Shipping,$29.99,33%,$19.99 (4 Offers)–,na,na
Bose,Bose Portable Home Speaker 829393-1300 - Luxe Silver,Free Shipping,0,0,$349.00 –,na,na
JBL,JBL Charge 4 Portable Waterproof Wireless Bluetooth Speaker (Grey),Free Shipping,0,0,$149.95 (52 Offers)–,Rating + 5,(4)
JBL,JBL Go 2 Portable Bluetooth Waterproof Speaker (CYAN),Free Shipping,0,0,$39.95 (14 Offers)–,Rating + 5,(1)
Enermax,Enermax O'Marine EAS03-BB Black/Blue Waterproof Wireless Speaker,Free Shipping,$29.99,33%,$19.99 (2 Offers)–,na,na
